Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2010,1,1,0,0,0,0,0,0,0,0,0,-11.520147705078102,1.2147460937500227,871.7843627929688,38.111534118652344,170.03752455121554,2.850578784942627,66.47315979003906,4.635039806365967,0
2010,1,1,0,30,0,0,0,0,0,0,0,-11.613806152343727,0.9162536621093977,871.5516357421875,38.64773178100586,171.91209084751364,2.7988224029541016,66.47315979003906,4.660911560058594,0
2010,1,1,1,0,0,0,0,0,0,0,0,-11.708074951171852,0.6177612304687727,871.3189086914062,39.19132995605469,169.02267363177072,2.747066020965576,67.35979461669922,4.686783313751221,0
2010,1,1,1,30,0,0,0,0,0,0,0,-11.697302246093727,0.41521606445314774,871.0614624023438,39.803016662597656,163.74208918918515,2.7102859020233154,67.35979461669922,4.682719707489014,0
2010,1,1,2,0,0,0,0,0,0,0,0,-11.686590576171852,0.21270141601564774,870.8040161132812,40.42506408691406,157.72111149479446,2.673506021499634,67.58609771728516,4.678656101226807,0
2010,1,1,2,30,0,0,0,0,0,0,1,-11.596746826171852,0.10161743164064774,870.5732421875,41.045509338378906,151.43910882646713,2.7435078620910645,67.58609771728516,4.6751532554626465,0
2010,1,1,3,0,0,0,0,0,0,0,0,-11.507543945312477,-0.009497070312477263,870.3424072265625,41.67359924316406,145.05428616915782,2.813509464263916,67.4330825805664,4.671650409698486,0
2010,1,1,3,30,0,0,0,0,0,0,0,-11.385290527343727,-0.08426513671872726,870.20654296875,42.311336517333984,138.6344031774705,2.900454044342041,67.4330825805664,4.659639358520508,0
2010,1,1,4,0,0,0,0,0,0,0,0,-11.264135742187477,-0.15903320312497726,870.0706787109375,42.954833984375,132.216254683471,2.987398624420166,67.68284606933594,4.647628307342529,0
2010,1,1,4,30,0,0,0,0,0,0,0,-11.167913818359352,-0.19904174804685226,870.0614013671875,43.41147994995117,125.82463698249515,3.0902609825134277,67.68284606933594,4.642521858215332,0
2010,1,1,5,0,0,0,0,0,0,0,1,-11.072332763671852,-0.23905029296872726,870.0520629882812,43.87047576904297,119.47973697387616,3.1931233406066895,68.31855773925781,4.637414932250977,0
