Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2013,1,1,0,0,0,0,0,0,0,0,0,-4.575537109374977,-2.4982971191406023,869.41552734375,85.6308364868164,170.00279216335906,3.0139033794403076,30.320308685302734,2.4849014282226562,0
2013,1,1,0,30,0,0,0,0,0,0,1,-4.551672363281227,-2.7204040527343523,869.3699951171875,87.20854187011719,171.89176697061973,2.984143018722534,30.320308685302734,2.5743632316589355,0
2013,1,1,1,0,0,0,0,0,0,0,0,-4.527838134765602,-2.9424804687499773,869.3245239257812,88.81746673583984,169.0234809372414,2.9543824195861816,34.87667465209961,2.663825273513794,0
2013,1,1,1,30,0,0,0,0,0,0,0,-4.496343994140602,-3.0278686523437273,869.279052734375,89.59517669677734,163.75273165633996,2.9205172061920166,34.87667465209961,2.779055595397949,0
2013,1,1,2,0,0,0,0,0,0,0,1,-4.464941406249977,-3.1132568359374773,869.2335815429688,90.37957000732422,157.7357880597531,2.8866522312164307,39.73832702636719,2.8942861557006836,0
2013,1,1,2,30,0,0,0,0,0,0,0,-4.459783935546852,-3.1604675292968523,869.0677490234375,90.73275756835938,151.45555415506684,2.8452444076538086,39.73832702636719,2.988489866256714,0
2013,1,1,3,0,0,0,0,0,0,0,0,-4.454656982421852,-3.2076782226562273,868.9019165039062,91.0874252319336,145.07145532834392,2.8038365840911865,43.46147155761719,3.082693576812744,0
2013,1,1,3,30,0,0,0,0,0,0,0,-4.465338134765602,-3.2396606445312273,868.7515869140625,91.23136901855469,138.65172329704788,2.7740979194641113,43.46147155761719,3.1573286056518555,0
2013,1,1,4,0,0,0,0,0,0,0,1,-4.476019287109352,-3.2716430664062273,868.6012573242188,91.37557983398438,132.23336134711747,2.744359016418457,45.95954513549805,3.231963872909546,0
2013,1,1,4,30,0,0,0,0,0,0,1,-4.507391357421852,-3.2906860351562273,868.671142578125,91.28939056396484,125.84126577371319,2.739159345626831,45.95954513549805,3.2896785736083984,0
